filename	tier	rows	prev_value	next_value
TD05-M4A3_RL.txt	RA	6-7	5290	5300
TD05-M5A2_RL.txt	LA	3-4	5440	5450
TD05-M5A2_RL.txt	LA	10-11	24320	24330
TD05-M5A2_RL.txt	RA	3-4	10450	10460
TD05-M5A3_RL.txt	LA	3-4	7001	7010
TD06-M3A2_YJ.txt	LA	21-22	49825	49826
TD06-M3A2_YJ.txt	LA	28-29	55459	55460
TD06-M3A2_YJ.txt	LA	29-30	56759	56760
TD06-M3A2_YJ.txt	RA	3-4	6659	6660
TD06-M3A4_YJ.txt	LA	1-2	1927	1930
TD06-M3A4_YJ.txt	LA	4-5	16928	16930
TD06-M3A4_YJ.txt	LA	5-6	17118	17120
TD06-M3A4_YJ.txt	LA	6-7	17808	17810
TD06-M3A4_YJ.txt	LA	8-9	27152	27153
TD06-M3A4_YJ.txt	LA	9-10	27577	27580
TD06-M3A4_YJ.txt	LA	10-11	28516	28520
TD06-M3A4_YJ.txt	LA	11-12	28949	28950
TD06-M3A4_YJ.txt	LA	12-13	33666	33670
TD06-M3A4_YJ.txt	LA	13-14	33877	33880
TD06-M3A4_YJ.txt	LA	14-15	34705	34710
TD06-M3A4_YJ.txt	LA	17-18	43339	43340
TD06-M3A4_YJ.txt	LA	18-19	52675	52680
TD06-M3A4_YJ.txt	LA	20-21	53075	53080
TD06-M3A4_YJ.txt	LA	22-23	53695	53700
TD06-M3A4_YJ.txt	RA	1-2	2098	2100
TD06-M3A4_YJ.txt	RA	2-3	8325	8330
TD06-M3A4_YJ.txt	RA	3-4	8528	8533
TD06-M3A4_YJ.txt	RA	5-6	9056	9060
TD06-M3A4_YJ.txt	RA	9-10	9948	9950
TD06-M3A4_YJ.txt	RA	11-12	10378	10380
TD06-M3A4_YJ.txt	RA	18-19	15586	15590
TD06-M3A4_YJ.txt	RA	21-22	17177	17180
TD06-M3A4_YJ.txt	RA	24-25	20995	21000
TD06-M3A4_YJ.txt	RA	29-30	23559	23560
TD06-M3A4_YJ.txt	RA	32-33	24178	24180
TD06-M3A4_YJ.txt	RA	34-35	24968	24970
TD06-M3A4_YJ.txt	RA	36-37	25426	25430
TD06-M3A4_YJ.txt	RA	38-39	26838	26840
