subj	month	act	prefix	path
TD05	M4	A2	TD05-M4_A2	Data/TD05/TD05_M4
TD05	M4	A3	TD05-M4_A3	Data/TD05/TD05_M4
TD05	M5	A2	TD05-M5_A2	Data/TD05/TD05_M5
TD05	M5	A3	TD05-M5_A3	Data/TD05/TD05_M5
TD05	M5	A4	TD05-M5_A4	Data/TD05/TD05_M5
TD05	M5	A5	TD05-M5_A5	Data/TD05/TD05_M5
TD05	M5	A6	TD05-M5_A6	Data/TD05/TD05_M5
TD05	M5	A7	TD05-M5_A7	Data/TD05/TD05_M5
TD06	M3	A2	TD06-M3_A2	Data/TD06/TD06_M3
TD06	M3	A3	TD06-M3_A3	Data/TD06/TD06_M3
TD06	M3	A4	TD06-M3_A4	Data/TD06/TD06_M3
TD06	M3	A5	TD06-M3_A5	Data/TD06/TD06_M3
TD07	M3	A2	TD07-M3_A2	Data/TD07/TD07_M3
TD07	M3	A3	TD07-M3_A3	Data/TD07/TD07_M3
TD07	M3	A4	TD07-M3_A4	Data/TD07/TD07_M3
TD07	M3	A5	TD07-M3_A5	Data/TD07/TD07_M3
TD07	M3	A6	TD07-M3_A6	Data/TD07/TD07_M3
TD07	M3	A7	TD07-M3_A7	Data/TD07/TD07_M3
TD08	M3	A2	TD08-M3_A2	Data/TD08/TD08_M3
TD08	M3	A3	TD08-M3_A3	Data/TD08/TD08_M3
TD08	M3	A4	TD08-M3_A4	Data/TD08/TD08_M3
TD08	M3	A5	TD08-M3_A5	Data/TD08/TD08_M3
TD08	M3	A6	TD08-M3_A6	Data/TD08/TD08_M3
TD08	M4	A2	TD08-M4_A2	Data/TD08/TD08_M4
TD08	M4	A3	TD08-M4_A3	Data/TD08/TD08_M4
TD08	M4	A4	TD08-M4_A4	Data/TD08/TD08_M4
TD08	M4	A5	TD08-M4_A5	Data/TD08/TD08_M4
TD08	M4	A6	TD08-M4_A6	Data/TD08/TD08_M4
TD08	M4	A7	TD08-M4_A7	Data/TD08/TD08_M4
TD08	M5	A2	TD08-M5_A2	Data/TD08/TD08_M5
TD08	M5	A3	TD08-M5_A3	Data/TD08/TD08_M5
TD08	M5	A4	TD08-M5_A4	Data/TD08/TD08_M5
TD08	M5	A5	TD08-M5_A5	Data/TD08/TD08_M5
TD08	M5	A6	TD08-M5_A6	Data/TD08/TD08_M5
TD08	M5	A7	TD08-M5_A7	Data/TD08/TD08_M5
TD10	M3	A2	TD10-M3_A2	Data/TD10/TD10_M3
TD10	M3	A3	TD10-M3_A3	Data/TD10/TD10_M3
TD10	M3	A4	TD10-M3_A4	Data/TD10/TD10_M3
TD10	M3	A5	TD10-M3_A5	Data/TD10/TD10_M3
TD10	M3	A6	TD10-M3_A6	Data/TD10/TD10_M3
TD10	M3	A7	TD10-M3_A7	Data/TD10/TD10_M3
TD10	M4	A2	TD10-M4_A2	Data/TD10/TD10_M4
TD10	M4	A3	TD10-M4_A3	Data/TD10/TD10_M4
TD10	M4	A4	TD10-M4_A4	Data/TD10/TD10_M4
TD10	M4	A5	TD10-M4_A5	Data/TD10/TD10_M4
TD10	M4	A6	TD10-M4_A6	Data/TD10/TD10_M4
TD10	M4	A7	TD10-M4_A7	Data/TD10/TD10_M4
TD13	M3	A2	TD13-M3_A2	Data/TD13/TD13_M3
TD13	M3	A3	TD13-M3_A3	Data/TD13/TD13_M3
TD13	M3	A4	TD13-M3_A4	Data/TD13/TD13_M3
TD13	M3	A5	TD13-M3_A5	Data/TD13/TD13_M3
TD13	M3	A6	TD13-M3_A6	Data/TD13/TD13_M3
TD13	M3	A7	TD13-M3_A7	Data/TD13/TD13_M3
TD13	M4	A2	TD13-M4_A2	Data/TD13/TD13_M4
TD13	M4	A3	TD13-M4_A3	Data/TD13/TD13_M4
TD13	M4	A4	TD13-M4_A4	Data/TD13/TD13_M4
TD13	M4	A5	TD13-M4_A5	Data/TD13/TD13_M4
TD13	M4	A6	TD13-M4_A6	Data/TD13/TD13_M4
TD13	M5	A2	TD13-M5_A2	Data/TD13/TD13_M5
TD13	M5	A3	TD13-M5_A3	Data/TD13/TD13_M5
TD13	M5	A4	TD13-M5_A4	Data/TD13/TD13_M5
TD13	M5	A5	TD13-M5_A5	Data/TD13/TD13_M5
TD13	M5	A6	TD13-M5_A6	Data/TD13/TD13_M5
TD13	M5	A7	TD13-M5_A7	Data/TD13/TD13_M5
TD14	M3	A2	TD14-M3_A2	Data/TD14/TD14_M3
TD14	M3	A3	TD14-M3_A3	Data/TD14/TD14_M3
TD14	M3	A4	TD14-M3_A4	Data/TD14/TD14_M3
TD14	M3	A5	TD14-M3_A5	Data/TD14/TD14_M3
TD14	M3	A6	TD14-M3_A6	Data/TD14/TD14_M3
TD14	M3	A7	TD14-M3_A7	Data/TD14/TD14_M3
TD14	M4	A3	TD14-M4_A3	Data/TD14/TD14_M4
TD14	M4	A4	TD14-M4_A4	Data/TD14/TD14_M4
TD14	M4	A5	TD14-M4_A5	Data/TD14/TD14_M4
TD14	M4	A6	TD14-M4_A6	Data/TD14/TD14_M4
TD14	M4	A7	TD14-M4_A7	Data/TD14/TD14_M4
TD14	M5	A2	TD14-M5_A2	Data/TD14/TD14_M5
TD14	M5	A3	TD14-M5_A3	Data/TD14/TD14_M5
TD14	M5	A4	TD14-M5_A4	Data/TD14/TD14_M5
TD14	M5	A5	TD14-M5_A5	Data/TD14/TD14_M5
TD14	M5	A6	TD14-M5_A6	Data/TD14/TD14_M5
TD14	M5	A7	TD14-M5_A7	Data/TD14/TD14_M5
TD17	M3	A2	TD17-M3_A2	Data/TD17/TD17_M3
TD17	M3	A3	TD17-M3_A3	Data/TD17/TD17_M3
TD17	M3	A4	TD17-M3_A4	Data/TD17/TD17_M3
TD17	M3	A5	TD17-M3_A5	Data/TD17/TD17_M3
TD17	M3	A6	TD17-M3_A6	Data/TD17/TD17_M3
TD17	M3	A7	TD17-M3_A7	Data/TD17/TD17_M3
TD17	M4	A2	TD17-M4_A2	Data/TD17/TD17_M4
TD17	M4	A3	TD17-M4_A3	Data/TD17/TD17_M4
TD17	M4	A4	TD17-M4_A4	Data/TD17/TD17_M4
TD17	M4	A5	TD17-M4_A5	Data/TD17/TD17_M4
TD17	M4	A6	TD17-M4_A6	Data/TD17/TD17_M4
TD17	M4	A7	TD17-M4_A7	Data/TD17/TD17_M4
TD17	M5	A2	TD17-M5_A2	Data/TD17/TD17_M5
TD17	M5	A3	TD17-M5_A3	Data/TD17/TD17_M5
TD17	M5	A4	TD17-M5_A4	Data/TD17/TD17_M5
TD17	M5	A5	TD17-M5_A5	Data/TD17/TD17_M5
TD17	M5	A6	TD17-M5_A6	Data/TD17/TD17_M5
TD17	M5	A7	TD17-M5_A7	Data/TD17/TD17_M5
TD19	M3	A2	TD19-M3_A2	Data/TD19/TD19_M3
TD19	M3	A3	TD19-M3_A3	Data/TD19/TD19_M3
TD19	M3	A4	TD19-M3_A4	Data/TD19/TD19_M3
TD19	M3	A5	TD19-M3_A5	Data/TD19/TD19_M3
TD19	M3	A6	TD19-M3_A6	Data/TD19/TD19_M3
TD19	M3	A7	TD19-M3_A7	Data/TD19/TD19_M3
TD22	M5	A2	TD22-M5_A2	Data/TD22/TD22_M5
TD22	M5	A3	TD22-M5_A3	Data/TD22/TD22_M5
TD22	M5	A4	TD22-M5_A4	Data/TD22/TD22_M5
TD22	M5	A5	TD22-M5_A5	Data/TD22/TD22_M5
TD22	M5	A6	TD22-M5_A6	Data/TD22/TD22_M5
TD22	M5	A7	TD22-M5_A7	Data/TD22/TD22_M5
TD24	M3	A2	TD24-M3_A2	Data/TD24/TD24_M3
TD24	M3	A3	TD24-M3_A3	Data/TD24/TD24_M3
TD24	M3	A4	TD24-M3_A4	Data/TD24/TD24_M3
TD24	M3	A5	TD24-M3_A5	Data/TD24/TD24_M3
TD24	M4	A2	TD24-M4_A2	Data/TD24/TD24_M4
TD24	M4	A3	TD24-M4_A3	Data/TD24/TD24_M4
TD24	M4	A4	TD24-M4_A4	Data/TD24/TD24_M4
TD24	M4	A5	TD24-M4_A5	Data/TD24/TD24_M4
TD24	M4	A6	TD24-M4_A6	Data/TD24/TD24_M4
TD24	M5	A2	TD24-M5_A2	Data/TD24/TD24_M5
TD24	M5	A3	TD24-M5_A3	Data/TD24/TD24_M5
TD24	M5	A4	TD24-M5_A4	Data/TD24/TD24_M5
TD24	M5	A5	TD24-M5_A5	Data/TD24/TD24_M5
TD27	M3	A2	TD27-M3_A2	Data/TD27/TD27_M3
TD27	M3	A3	TD27-M3_A3	Data/TD27/TD27_M3
TD27	M3	A4	TD27-M3_A4	Data/TD27/TD27_M3
TD27	M3	A5	TD27-M3_A5	Data/TD27/TD27_M3
TD27	M3	A6	TD27-M3_A6	Data/TD27/TD27_M3
TD27	M3	A7	TD27-M3_A7	Data/TD27/TD27_M3
TD27	M4	A2	TD27-M4_A2	Data/TD27/TD27_M4
TD27	M4	A3	TD27-M4_A3	Data/TD27/TD27_M4
TD27	M4	A4	TD27-M4_A4	Data/TD27/TD27_M4
TD27	M4	A6	TD27-M4_A6	Data/TD27/TD27_M4
TD30	M3	A2	TD30-M3_A2	Data/TD30/TD30_M3
TD30	M3	A3	TD30-M3_A3	Data/TD30/TD30_M3
TD30	M3	A4	TD30-M3_A4	Data/TD30/TD30_M3
